"dt","ADC3","ADC4","ADC5","ADC6","ADC7","Altitude","ColorName","ColorRaw","ColorRgb","Pressure","Temperature","Potentiometer1","Potentiometer2","Light","MsgType","DeviceName","Sentence","Word","EventProcessedUtcTime","PartitionId","EventEnqueuedUtcTime","IoTHub"
"2017-01-22T17:00:00.0712985Z","92","939","803","412","106","316.4906","ABC","Record","Record","-989.2951","-971.2951","59.881369174578573","940.60323458396056","549.63744175531","MAll","PC6",,,"2017-01-22T17:00:01.5027170Z","1","2017-01-22T16:59:59.6120000Z","Record"
"2017-01-22T17:00:00.3174628Z",,,,,,,,,,,,,,,"MSentence","PC8","'But that's for me to do as I please, my good sir, to wait or to sell your pledge at once.'",,"2017-01-22T17:00:01.5027170Z","1","2017-01-22T16:59:59.6120000Z","Record"
"2017-01-22T17:00:00.4278811Z",,,,,,,,,,,,,,,"MWord","PC",,"still","2017-01-22T17:00:01.5027170Z","1","2017-01-22T16:59:59.6120000Z","Record"
"2017-01-22T17:00:00.6041750Z","8","2","799","612","230","-187.527649","ABC","Record","Record","46.3173523","27.3173542","-28.24548024848891","100.49156485190673","620.290953246517","MAll","PC9",,,"2017-01-22T17:00:01.5027170Z","1","2017-01-22T16:59:59.6120000Z","Record"
"2017-01-22T17:00:00.8499531Z",,,,,,,,,,,,,,,"MSentence","PC0","'Such is my fate! Do you know, sir, do you know, I have sold her very stockings for drink? Not her shoes-that would be more or less in the order of things, but her stockings, her stockings I have sold for drink! Her mohair shawl I sold for drink, a present to her long ago, her own property, not mine; and we live in a cold room and she caught cold this winter and has begun coughing and spitting blood too.",,"2017-01-22T17:00:02.4402181Z","1","2017-01-22T17:00:00.6120000Z","Record"
"2017-01-22T17:00:00.9592667Z",,,,,,,,,,,,,,,"MWord","PC",,"then","2017-01-22T17:00:02.4402181Z","1","2017-01-22T17:00:00.6120000Z","Record"
"2017-01-22T17:00:01.1374125Z","371","366","529","904","448","789.427734","ABC","Record","Record","-197.320755","-201.320755","-349.8846499842424","413.13379168927895","331.078778988679","MAll","PC4",,,"2017-01-22T17:00:02.4402181Z","1","2017-01-22T17:00:00.6120000Z","Record"
"2017-01-22T17:00:01.2408567Z","839","158","174","748","415","800.427734",,,,"-226.320755","-217.320755","-353.8846499842424","435.13379168927895","332.078778988679","MAllNum","PC8",,,"2017-01-22T17:00:02.4402181Z","1","2017-01-22T17:00:00.6120000Z","Record"
"2017-01-22T17:00:01.3499141Z",,,,,,,,,,,,,,,"MSentence","PC7","The young man did not dispute it and took the money. He looked at the old woman, and was in no hurry to get away, as though there was still something he wanted to say or to do, but he did not himself quite know what.",,"2017-01-22T17:00:02.4402181Z","1","2017-01-22T17:00:00.6120000Z","Record"
"2017-01-22T17:00:01.7780928Z",,,,,,,,,,,,,,,"MWord","PC5",,"not","2017-01-22T17:00:03.4246084Z","1","2017-01-22T17:00:01.6280000Z","Record"
